batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,int32,True,split,int32,4,float32,True,NumbaJitSolver,4.475038259999565,float32,1,float32,0.0005462693188476031,1830.5988740308105,7322.395496123242,29289.58198449297
8192,int32,True,split,int32,9,float32,True,NumbaJitSolver,0.6325160460000916,float32,1,float32,7.721143139649556e-05,12951.450088586074,116563.05079727467,1049067.457175472
8192,int32,True,split,int32,16,float32,True,NumbaJitSolver,0.9080080970015842,float32,1,float32,0.0001108408321535137,9021.945979393295,144351.13567029272,2309618.1707246834
8192,int32,True,split,int32,36,float32,True,NumbaJitSolver,1.6580572130005748,float32,1,float32,0.00020239956213385923,4940.722151061961,177865.9974382306,6403175.907776302
4608,int32,True,split,int32,64,float32,True,NumbaJitSolver,1.61093100799917,float32,1,float32,0.0003495944027775977,2860.457696275453,183069.292561629,11716434.723944256
911,int32,True,split,int32,144,float32,True,NumbaJitSolver,0.7785633839994262,float32,1,float32,0.0008546250098786237,1170.1038331911477,168494.95197952527,24263273.08505164
288,int32,True,split,int32,256,float32,True,NumbaJitSolver,0.5227716369990958,float32,1,float32,0.0018151792951357493,550.9097655971304,141032.8999928654,36104422.39817354
57,int32,True,split,int32,576,float32,True,NumbaJitSolver,0.3015880940001807,float32,1,float32,0.005291019192985627,188.99950340866522,108863.71396339117,62705499.24291331
18,int32,True,split,int32,1024,float32,True,NumbaJitSolver,0.23083750200021314,float32,1,float32,0.012824305666678507,77.9769311486631,79848.37749623101,81764738.55614056
4,int32,True,split,int32,2304,float32,True,NumbaJitSolver,0.17185201200118172,float32,1,float32,0.04296300300029543,23.275840378130077,53627.5362312117,123557843.47671175
2,int32,True,split,int32,4096,float32,True,NumbaJitSolver,0.2316998890019022,float32,1,float32,0.1158499445009511,8.63185566732654,35356.08081336951,144818507.0115615
8192,float32,True,split,float32,4,float32,True,NumbaJitSolver,1.427315003998956,float32,1,float32,0.0001742327885740913,5739.447828298729,22957.791313194917,91831.16525277967
8192,float32,True,split,float32,9,float32,True,NumbaJitSolver,0.6419195069975103,float32,1,float32,7.835931481903202e-05,12761.724656595881,114855.52190936293,1033699.6971842663
8192,float32,True,split,float32,16,float32,True,NumbaJitSolver,0.9087259789994278,float32,1,float32,0.00011092846423332858,9014.818756496845,144237.10010394952,2307793.6016631923
8192,float32,True,split,float32,36,float32,True,NumbaJitSolver,1.6833008569992671,float32,1,float32,0.00020548106164541835,4866.628544705581,175198.6276094009,6307150.593938433
4608,float32,True,split,float32,64,float32,True,NumbaJitSolver,1.628090654998232,float32,1,float32,0.00035331828450482463,2830.309225013643,181139.79040087314,11592946.585655881
911,float32,True,split,float32,144,float32,True,NumbaJitSolver,0.7732364280018373,float32,1,float32,0.0008487776377627194,1178.1648755920166,169655.7420852504,24430426.860276055
288,float32,True,split,float32,256,float32,True,NumbaJitSolver,0.5062221960033639,float32,1,float32,0.0017577159583450136,568.9201348217575,145643.55451436993,37284749.9556787
57,float32,True,split,float32,576,float32,True,NumbaJitSolver,0.287850441000046,float32,1,float32,0.005050007736842912,198.01949860480116,114059.23119636546,65698117.169106506
18,float32,True,split,float32,1024,float32,True,NumbaJitSolver,0.20271140800105059,float32,1,float32,0.011261744888947255,88.79618654667286,90927.295023793,93109550.10436404
4,float32,True,split,float32,2304,float32,True,NumbaJitSolver,0.15913985099905403,float32,1,float32,0.03978496274976351,25.135124702509472,57911.327314581824,133427698.13279653
2,float32,True,split,float32,4096,float32,True,NumbaJitSolver,0.21875097700103652,float32,1,float32,0.10937548850051826,9.142816308383955,37448.97559914068,153391004.05408022
8192,float64,True,split,float64,4,float32,True,NumbaJitSolver,1.789481492996856,float32,1,float32,0.00021844256506309279,4577.862376369596,18311.449505478384,73245.79802191354
8192,float64,True,split,float64,9,float32,True,NumbaJitSolver,0.6292760559990711,float32,1,float32,7.681592480457411e-05,13018.133968237451,117163.20571413706,1054468.8514272335
