batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,float32,True,nx,float32,4,float32,True,NumpySolver,0.34899740400214796,float32,1,float32,4.260222216823095e-05,23472.95397059624,93891.81588238497,375567.26352953986
8192,float32,True,nx,float32,9,float32,True,NumpySolver,0.36160955900049885,float32,1,float32,4.414179187017808e-05,22654.26838450556,203888.41546055005,1834995.7391449504
8192,float32,True,nx,float32,16,float32,True,NumpySolver,0.4534463340023649,float32,1,float32,5.535233569364806e-05,18066.08497127529,289057.35954040464,4624917.752646474
8192,float32,True,nx,float32,36,float32,True,NumpySolver,0.8292369010014227,float32,1,float32,0.00010122520764177523,9878.962200195123,355642.6392070244,12803135.01145288
4608,float32,True,nx,float32,64,float32,True,NumpySolver,1.0114814939988719,float32,1,float32,0.0002195055325518385,4555.693828645707,291564.40503332525,18660121.922132816
911,float32,True,nx,float32,144,float32,True,NumpySolver,0.8140215819985315,float32,1,float32,0.0008935472908875208,1119.1349469670984,161155.43236326217,23206382.260309752
288,float32,True,nx,float32,256,float32,True,NumpySolver,0.7867429010002525,float32,1,float32,0.0027317461840286545,366.0662201512608,93712.95235872276,23990515.803833026
57,float32,True,nx,float32,576,float32,True,NumpySolver,0.8874909699989075,float32,1,float32,0.015570017017524694,64.2260055897472,36994.179219694386,21308647.230543967
18,float32,True,nx,float32,1024,float32,True,NumpySolver,0.9055336000019452,float32,1,float32,0.050307422222330284,19.87778255821908,20354.84933961634,20843365.72376713
4,float32,True,nx,float32,2304,float32,True,NumpySolver,1.135419145000924,float32,1,float32,0.283854786250231,3.522928090134278,8116.826319669377,18701167.840518244
2,float32,True,nx,float32,4096,float32,True,NumpySolver,1.8590811629983364,float32,1,float32,0.9295405814991682,1.0758002607989363,4406.477868232443,18048933.348280087
8192,float32,False,nx,float32,4,float32,True,NumpySolver,0.32036365199746797,float32,1,float32,3.9106891112972164e-05,25570.94086336844,102283.76345347376,409135.05381389504
8192,float32,False,nx,float32,9,float32,True,NumpySolver,0.3410682949979673,float32,1,float32,4.163431335424406e-05,24018.64998928975,216167.84990360774,1945510.6491324697
8192,float32,False,nx,float32,16,float32,True,NumpySolver,0.41953622099754284,float32,1,float32,5.1212917602239116e-05,19526.323568729433,312421.1770996709,4998738.833594735
8192,float32,False,nx,float32,36,float32,True,NumpySolver,0.8100074649992166,float32,1,float32,9.887786437978718e-05,10113.487040527365,364085.53345898516,13107079.204523467
4608,float32,False,nx,float32,64,float32,True,NumpySolver,0.9947746459984046,float32,1,float32,0.00021587991449618156,4632.204910465109,296461.11426976696,18973511.313265085
911,float32,False,nx,float32,144,float32,True,NumpySolver,0.8135499569980311,float32,1,float32,0.0008930295905576631,1119.7837233764426,161248.85616620773,23219835.287933912
288,float32,False,nx,float32,256,float32,True,NumpySolver,0.7784048570028972,float32,1,float32,0.0027027946423711707,369.98741388753706,94716.77795520949,24247495.15653363
57,float32,False,nx,float32,576,float32,True,NumpySolver,0.8860706019986537,float32,1,float32,0.015545098280678135,64.32895964658876,37053.48075643512,21342804.91570663
18,float32,False,nx,float32,1024,float32,True,NumpySolver,0.902505841000675,float32,1,float32,0.050139213388926386,19.94446925688821,20423.136519053525,20913291.79551081
4,float32,False,nx,float32,2304,float32,True,NumpySolver,1.1344442480003636,float32,1,float32,0.2836110620000909,3.5259555566971486,8123.80160263023,18717238.892460052
2,float32,False,nx,float32,4096,float32,True,NumpySolver,1.863279421999323,float32,1,float32,0.9316397109996615,1.0733763151068207,4396.549386677538,18008266.287831195
