batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,int32,True,nx,int32,1,float32,True,NumbaSolver,4.417478358998778,float32,64,float32,0.000539242963744968,1854.4516428274517,1854.4516428274517,1854.4516428274517
8192,int32,True,nx,int32,4,float32,True,NumbaSolver,4.263321170999916,float32,64,float32,0.0005204249476318257,1921.5066544185913,7686.026617674365,30744.10647069746
8192,int32,True,nx,int32,16,float32,True,NumbaSolver,4.329704114999913,float32,64,float32,0.0005285283343505753,1892.0461496709377,30272.738394735003,484363.81431576004
8192,int32,True,nx,int32,64,float32,True,NumbaSolver,4.244263959999444,float32,64,float32,0.0005180986279296196,1930.1344301877666,123528.60353201706,7905830.626049092
4608,int32,True,nx,int32,256,float32,True,NumbaSolver,2.5654081029988447,float32,64,float32,0.0005567291890188465,1796.205443731724,459828.59359532135,117716119.96040227
648,int32,True,nx,int32,1024,float32,True,NumbaSolver,1.7098807929996838,float32,64,float32,0.002638704927468648,378.97378732654136,388069.15822237835,397382818.0197154
41,int32,True,nx,int32,4096,float32,True,NumbaSolver,1.0327421950005373,float32,64,float32,0.025188834024403348,39.70013058290764,162611.7348675897,666057666.0176474
3,int32,True,nx,int32,16384,float32,True,NumbaSolver,1.1541658989990538,float32,64,float32,0.3847219663330179,2.5992797071909153,42586.598722615956,697738833.4713398
8192,int32,False,nx,int32,1,float32,True,NumbaSolver,1.8166875890001393,float32,64,float32,0.00022176362170411856,4509.305865026951,4509.305865026951,4509.305865026951
8192,int32,False,nx,int32,4,float32,True,NumbaSolver,1.6584172149996448,float32,64,float32,0.00020244350769038633,4939.649640577178,19758.59856230871,79034.39424923484
8192,int32,False,nx,int32,16,float32,True,NumbaSolver,1.6594901859989477,float32,64,float32,0.00020257448559557467,4936.455827889538,78983.29324623261,1263732.6919397218
8192,int32,False,nx,int32,64,float32,True,NumbaSolver,1.8160796890006168,float32,64,float32,0.0002216894151612081,4510.815274030201,288692.1775379329,18476299.362427704
4608,int32,False,nx,int32,256,float32,True,NumbaSolver,2.3940232069999183,float32,64,float32,0.0005195362862413017,1924.7933714788576,492747.10309858754,126143258.39323841
648,int32,False,nx,int32,1024,float32,True,NumbaSolver,1.4821553759993549,float32,64,float32,0.0022872768148138193,437.20112647642014,447693.9535118542,458438608.3961387
41,int32,False,nx,int32,4096,float32,True,NumbaSolver,1.0344992709997314,float32,64,float32,0.025231689536578814,39.632700717495865,162335.54213886306,664926380.6007831
3,int32,False,nx,int32,16384,float32,True,NumbaSolver,1.0878831859990896,float32,64,float32,0.3626277286663632,2.7576490183960893,45181.32151740153,740250771.7411066
8192,int32,True,nx,int32,1,float32,False,NumbaSolver,4.7231210579993785,float32,64,float32,0.0005765528635253148,1734.4463331350585,1734.4463331350585,1734.4463331350585
8192,int32,True,nx,int32,4,float32,False,NumbaSolver,4.924940766000873,float32,64,float32,0.0006011890583497159,1663.3702595071065,6653.481038028426,26613.924152113705
8192,int32,True,nx,int32,16,float32,False,NumbaSolver,4.692962719998832,float32,64,float32,0.0005728714257811074,1745.5923877447804,27929.478203916486,446871.65126266377
8192,int32,True,nx,int32,64,float32,False,NumbaSolver,4.816204461998495,float32,64,float32,0.0005879155837400507,1700.9244654452878,108859.16578849842,6966986.610463899
4608,int32,True,nx,int32,256,float32,False,NumbaSolver,2.9074745420002728,float32,64,float32,0.0006309623572049203,1584.8806011659199,405729.4338984755,103866735.07800972
648,int32,True,nx,int32,1024,float32,False,NumbaSolver,2.0597681230010494,float32,64,float32,0.0031786545108040886,314.5985185244416,322148.8829690282,329880456.1602849
41,int32,True,nx,int32,4096,float32,False,NumbaSolver,1.7767397469997377,float32,64,float32,0.04333511578048141,23.07597388375758,94519.18902787105,387150598.2581598
3,int32,True,nx,int32,16384,float32,False,NumbaSolver,1.97793680399991,float32,64,float32,0.65931226799997,1.516731977449031,24850.136718524926,407144639.9963124
8192,int32,False,nx,int32,1,float32,False,NumbaSolver,2.225323065000339,float32,64,float32,0.0002716458819580492,3681.263241658241,3681.263241658241,3681.263241658241
8192,int32,False,nx,int32,4,float32,False,NumbaSolver,2.144159055998898,float32,64,float32,0.0002617381660154905,3820.6120842950236,15282.448337180094,61129.79334872038
8192,int32,False,nx,int32,16,float32,False,NumbaSolver,2.1128448300005402,float32,64,float32,0.0002579156286621753,3877.2369289409226,62035.79086305476,992572.6538088762
8192,int32,False,nx,int32,64,float32,False,NumbaSolver,2.243049770999278,float32,64,float32,0.0002738097864989353,3652.1704091971474,233738.90618861743,14959289.996071516
4608,int32,False,nx,int32,256,float32,False,NumbaSolver,2.7054290319993015,float32,64,float32,0.0005871156753470706,1703.2418686638791,436029.91837795306,111623659.10475598
648,int32,False,nx,int32,1024,float32,False,NumbaSolver,1.9917116470005567,float32,64,float32,0.0030736290848774024,325.3483007823265,333156.6600011023,341152419.84112877
