batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,float32,True,nx,float32,1,float32,False,NumbaSolver,4.853052820999437,float32,8,float32,0.0005924136744384079,1688.0096512761509,1688.0096512761509,1688.0096512761509
8192,float32,True,nx,float32,4,float32,False,NumbaSolver,4.70003203899978,float32,8,float32,0.0005737343797607153,1742.9668419331351,6971.8673677325405,27887.469470930162
8192,float32,True,nx,float32,16,float32,False,NumbaSolver,4.654300598998816,float32,8,float32,0.0005681519285887227,1760.0925908743789,28161.48145399006,450583.703263841
8192,float32,True,nx,float32,64,float32,False,NumbaSolver,4.601680493000458,float32,8,float32,0.00056172857580572,1780.2192074092754,113934.02927419363,7291777.873548392
4608,float32,True,nx,float32,256,float32,False,NumbaSolver,2.8704961059993366,float32,8,float32,0.0006229375230033282,1605.2974224104607,410956.14013707795,105204771.87509196
648,float32,True,nx,float32,1024,float32,False,NumbaSolver,5.9362976039992645,float32,8,float32,0.009160953092591458,109.15894775279536,111778.76249886244,114461452.79883514
41,float32,True,nx,float32,4096,float32,False,NumbaSolver,5.862375022999913,float32,8,float32,0.14298475665853447,6.993752504598273,28646.410258834527,117335696.42018622
3,float32,True,nx,float32,16384,float32,False,NumbaSolver,6.916557410000678,float32,8,float32,2.305519136666893,0.4337417912070372,7106.425507136098,116431675.50891782
8192,float32,True,nx,float32,1,float32,False,NumbaSolver,4.663530268000613,float32,16,float32,0.0005692785971680436,1756.6091628503873,1756.6091628503873,1756.6091628503873
8192,float32,True,nx,float32,4,float32,False,NumbaSolver,4.6894247550008,float32,16,float32,0.0005724395452881836,1746.909360527441,6987.637442109764,27950.549768439058
8192,float32,True,nx,float32,16,float32,False,NumbaSolver,4.637877084000138,float32,16,float32,0.0005661471049804856,1766.325379398467,28261.206070375472,452179.29712600756
8192,float32,True,nx,float32,64,float32,False,NumbaSolver,4.645706605000669,float32,16,float32,0.0005671028570557457,1763.3485487831017,112854.30712211851,7222675.655815585
4608,float32,True,nx,float32,256,float32,False,NumbaSolver,2.9005591409986664,float32,16,float32,0.0006294616191403356,1588.6592122419056,406696.75833392784,104114370.13348553
648,float32,True,nx,float32,1024,float32,False,NumbaSolver,3.131148825999844,float32,16,float32,0.004832019793209636,206.95279464816863,211919.66171972468,217005733.60099807
41,float32,True,nx,float32,4096,float32,False,NumbaSolver,3.159054429999742,float32,16,float32,0.07705010804877419,12.978567134091245,53160.21098123774,217744224.17914978
3,float32,True,nx,float32,16384,float32,False,NumbaSolver,3.6434113000013895,float32,16,float32,1.2144704333337966,0.8234041542328355,13490.653662950777,221030869.61378554
8192,float32,True,nx,float32,1,float32,False,NumbaSolver,4.701786319999883,float32,32,float32,0.0005739485253906107,1742.316524499183,1742.316524499183,1742.316524499183
8192,float32,True,nx,float32,4,float32,False,NumbaSolver,4.720146379999278,float32,32,float32,0.0005761897436522556,1735.5393965560138,6942.157586224055,27768.63034489622
8192,float32,True,nx,float32,16,float32,False,NumbaSolver,4.696095389999755,float32,32,float32,0.0005732538317870794,1744.4279384623887,27910.84701539822,446573.5522463715
8192,float32,True,nx,float32,64,float32,False,NumbaSolver,4.673422331999973,float32,32,float32,0.0005704861245117154,1752.891011776859,112185.02475371897,7179841.584238014
